price,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy
$185.00,38.90562712236379,-77.02735634667901,Apartment,Entire home/apt,4,1.0,1.0,1.0,3,8,98.0,10.0,10.0,10.0,10.0,strict
$120.00,38.900762271642435,-77.01638778092041,Apartment,Entire home/apt,2,1.0,1.0,1.0,7,1,97.0,10.0,10.0,10.0,8.0,moderate
$99.00,38.89952784373389,-77.01052628635226,Apartment,Entire home/apt,3,1.0,1.0,2.0,3,4,100.0,9.0,10.0,10.0,10.0,moderate
$250.00,38.90079662080385,-77.01485968273606,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,6,100.0,10.0,10.0,10.0,10.0,strict
$249.00,38.89957916877624,-77.01815178402718,Apartment,Entire home/apt,2,1.0,1.0,1.0,3,4,90.0,10.0,9.0,9.0,9.0,super_strict_30
$259.00,38.89272228128932,-77.01879752877902,Apartment,Entire home/apt,3,1.0,1.0,2.0,3,2,90.0,10.0,10.0,9.0,8.0,moderate
$300.00,38.90471496888069,-77.02771770744194,Apartment,Entire home/apt,5,2.0,2.0,2.0,1,2,100.0,10.0,10.0,10.0,10.0,flexible
$200.00,38.901205485991284,-77.0160623850272,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,15,97.0,10.0,10.0,10.0,10.0,strict
$81.00,38.899877524709225,-77.01690344197195,Apartment,Entire home/apt,1,1.0,1.0,1.0,1,1,80.0,10.0,10.0,10.0,10.0,moderate
$194.00,38.89964753708856,-77.01753677417051,Apartment,Entire home/apt,8,1.0,2.0,4.0,1,8,98.0,10.0,10.0,10.0,10.0,strict
$89.00,38.90005699691035,-77.01633626356819,Apartment,Private room,2,1.0,1.0,1.0,3,3,100.0,9.0,10.0,10.0,10.0,strict
$159.00,38.90152203569321,-77.01721358517759,Apartment,Entire home/apt,2,1.0,1.0,1.0,4,18,99.0,10.0,10.0,10.0,10.0,strict
$85.00,38.90511841633633,-77.02795467986135,Apartment,Entire home/apt,2,1.0,0.0,1.0,3,1,80.0,6.0,10.0,8.0,8.0,flexible
$100.00,38.90517391100214,-77.02509910812319,Apartment,Entire home/apt,4,1.0,1.0,1.0,1,18,94.0,9.0,10.0,9.0,9.0,strict
$150.00,38.906496014580455,-77.00943129357644,Apartment,Entire home/apt,3,2.0,1.0,1.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$175.00,38.9065452164503,-77.0105837949484,Apartment,Entire home/apt,5,1.0,2.0,3.0,2,2,100.0,10.0,10.0,10.0,10.0,moderate
$120.00,38.9030506894444,-77.01624454141098,other,Entire home/apt,2,1.0,1.0,1.0,4,1,100.0,10.0,10.0,10.0,10.0,flexible
$155.00,38.90499381062229,-77.03029564977189,Apartment,Entire home/apt,3,1.0,1.0,1.0,2,1,100.0,10.0,10.0,10.0,10.0,moderate
$311.00,38.89433389446209,-77.01918021576904,Apartment,Entire home/apt,5,2.0,2.0,3.0,3,3,87.0,9.0,9.0,10.0,10.0,moderate
$339.00,38.89970634864877,-77.01619336716801,Apartment,Entire home/apt,6,2.0,2.0,2.0,3,47,97.0,10.0,9.0,9.0,9.0,strict
$210.00,38.899164439117385,-77.0168964928183,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,28,99.0,9.0,10.0,10.0,9.0,moderate
$299.00,38.893819078752756,-77.02074143256318,Apartment,Entire home/apt,4,2.0,2.0,2.0,4,2,99.0,10.0,10.0,10.0,10.0,super_strict_30
$170.00,38.899210995906955,-77.0177957359176,Apartment,Private room,2,1.0,1.0,1.0,1,18,99.0,10.0,10.0,10.0,10.0,flexible
$245.00,38.904296617742574,-77.01587346885941,Apartment,Entire home/apt,4,1.0,2.0,2.0,1,3,93.0,9.0,9.0,9.0,9.0,strict
$249.00,38.899881731861356,-77.01649589681945,Apartment,Entire home/apt,3,1.0,1.0,1.0,3,1,80.0,10.0,10.0,8.0,8.0,super_strict_30
$99.00,38.901916437567785,-77.0100216369334,Apartment,Private room,2,1.0,1.0,1.0,1,5,100.0,10.0,10.0,10.0,10.0,strict
$99.00,38.90530313326622,-77.02832444110653,House,Private room,1,1.0,1.0,1.0,3,8,80.0,9.0,8.0,9.0,9.0,strict
$295.00,38.90272241414508,-77.01817220798921,Apartment,Entire home/apt,6,2.0,2.0,2.0,1,50,95.0,10.0,9.0,10.0,9.0,strict
